alpha,beta,gamma,conf_no,rmsd1,rmsd2
7.5,31.1,61.8,8037,0.45,0.5
11.1,29.8,81.9,8038,0.44,0.49
22.7,29.8,70.6,8039,0.44,0.49
71.9,23.4,3.7,8040,0.44,0.63
15.4,24.4,77.0,8041,0.62,0.48
129.8,-52.9,-38.1,8042,0.44,0.61
-4.4,30.5,104.6,8043,0.44,0.49
-0.2,35.5,79.9,8044,0.45,0.48
59.1,26.3,8.6,8045,0.44,0.48
18.3,33.4,63.0,8046,0.45,0.48
14.0,26.1,64.1,8047,0.44,0.5
83.2,23.6,-10.9,8048,0.44,0.63
92.0,-41.6,-42.1,8049,0.44,0.65
44.2,17.9,26.2,8050,0.44,0.6
48.5,74.4,1.9,8051,0.44,0.72
-6.9,39.6,90.0,8052,0.44,0.48
48.7,35.1,41.6,8053,0.44,0.49
21.9,30.0,76.9,8054,0.48,0.48
78.5,36.8,0.3,8055,0.44,0.49
61.2,40.8,9.0,8056,0.72,0.48
48.2,15.1,15.3,8057,0.44,0.81
53.4,21.3,28.1,8058,0.44,0.5
34.9,34.2,56.2,8059,0.45,0.49
-45.9,10.2,96.0,8060,0.44,0.49
35.2,80.2,1.9,8061,0.44,0.49
86.7,7.9,-36.1,8062,0.44,0.62
55.3,18.7,22.5,8063,0.44,0.51
-8.5,17.0,86.9,8064,0.44,0.48
39.5,26.9,35.7,8065,0.44,0.5
-49.2,57.7,123.5,8066,0.44,0.48
128.7,-55.5,-42.2,8067,0.44,0.6
23.5,40.9,56.0,8068,0.45,0.52
66.1,28.1,2.2,8069,0.44,0.49
67.3,17.5,-13.7,8070,0.44,0.55
98.2,26.3,-42.5,8071,0.46,0.69
73.0,21.4,8.0,8072,0.44,0.51
49.0,16.7,28.7,8073,0.44,0.51
55.4,21.0,27.5,8074,0.44,0.51
41.4,25.6,23.2,8075,0.44,0.49
59.9,22.7,25.8,8076,0.44,0.62
56.0,35.3,34.5,8077,0.44,0.48
24.0,24.4,47.9,8078,0.44,0.48
2.9,24.4,84.8,8079,0.45,0.48
48.6,28.9,38.6,8080,0.44,0.48
-54.5,56.7,62.0,8081,0.44,0.56
-6.9,25.0,76.6,8082,0.44,0.73
55.8,30.4,31.0,8083,0.44,0.56
22.9,25.4,69.0,8084,0.44,0.48
37.7,25.4,41.6,8085,0.44,0.48
18.4,27.7,79.8,8086,0.45,0.48
59.6,26.1,35.0,8087,0.44,0.5
10.2,33.4,96.0,8088,0.44,0.51
23.5,24.8,68.5,8089,0.44,0.49
65.2,18.4,18.1,8090,0.44,0.61
9.9,39.4,82.3,8091,0.45,0.49
52.3,14.3,12.8,8092,0.44,0.66
31.8,16.9,50.0,8093,0.44,0.66
31.3,18.0,41.6,8094,0.44,0.57
48.7,28.5,39.4,8095,0.44,0.59
30.4,20.4,61.1,8096,0.44,0.65
7.2,30.5,67.8,8097,0.45,0.48
43.9,30.6,39.4,8098,0.71,0.65
1.8,20.0,78.9,8099,0.44,0.48
-7.8,14.9,65.7,8100,0.44,0.5
54.6,19.1,31.4,8101,0.44,0.5
53.9,10.7,11.9,8102,0.44,0.74
18.4,32.5,58.0,8103,0.45,0.62
55.7,25.9,44.3,8104,0.44,0.48
-24.0,43.6,114.1,8105,0.69,0.48
56.6,12.5,0.2,8106,0.44,0.78
12.0,29.5,57.9,8107,0.45,0.5
53.1,36.7,40.8,8108,0.45,0.48
-27.5,17.6,85.0,8109,0.44,0.51
75.0,26.9,-0.1,8110,0.44,0.6
19.4,22.2,70.8,8111,0.44,0.69
52.0,22.1,7.1,8112,0.44,0.65
46.2,33.3,46.5,8113,0.45,0.48
-24.5,14.8,95.3,8114,0.44,0.76
69.1,63.5,-8.3,8115,0.44,0.48
83.8,35.0,0.3,8116,0.44,0.48
8.4,37.9,85.7,8117,0.6,0.49
5.2,20.9,70.9,8118,0.44,0.7
5.4,21.7,81.7,8119,0.44,0.5
-43.6,6.6,102.2,8120,0.44,0.66
34.9,35.5,57.8,8121,0.45,0.48
40.4,31.5,37.1,8122,0.65,0.48
22.0,25.6,72.6,8123,0.44,0.48
11.4,35.5,85.1,8124,0.44,0.48
18.9,31.7,80.7,8125,0.45,0.49
56.7,27.7,19.0,8126,0.44,0.65
45.7,11.4,27.5,8127,0.44,0.58
20.8,36.0,76.5,8128,0.45,0.5
36.6,30.4,59.7,8129,0.44,0.5
53.8,30.6,41.5,8130,0.44,0.48
45.1,22.8,29.2,8131,0.44,0.5
14.7,14.4,37.9,8132,0.45,0.65
2.9,30.8,101.7,8133,0.44,0.48
41.1,22.4,24.4,8134,0.44,0.48
12.6,28.8,67.9,8135,0.45,0.67
50.9,28.3,38.2,8136,0.44,0.5
72.2,15.0,5.3,8137,0.44,0.72
46.7,34.4,0.7,8138,0.44,0.67
48.6,29.4,52.7,8139,0.49,0.48
77.4,23.1,0.9,8140,0.44,0.49
-61.6,54.0,70.4,8141,0.44,0.49
27.7,18.7,57.3,8142,0.44,0.48
53.0,23.4,28.6,8143,0.44,0.5
11.0,34.5,91.8,8144,0.46,0.48
10.3,18.1,60.4,8145,0.44,0.59
14.1,13.5,67.3,8146,0.44,0.67
54.4,27.5,12.5,8147,0.44,0.49
32.8,20.6,38.1,8148,0.44,0.65
21.3,18.7,58.9,8149,0.44,0.63
20.2,22.7,33.0,8150,0.44,0.48
35.0,17.3,44.6,8151,0.44,0.5
-4.5,30.8,74.2,8152,0.45,0.48
51.3,19.4,28.7,8153,0.44,0.51
8.4,31.8,94.5,8154,0.45,0.49
77.5,21.2,-25.6,8155,0.45,0.71
60.6,25.8,24.7,8156,0.44,0.49
30.1,24.1,53.8,8157,0.44,0.48
19.3,40.1,77.6,8158,0.49,0.48
51.7,16.3,8.0,8159,0.44,0.72
64.8,29.8,25.1,8160,0.44,0.48
-20.0,28.6,120.6,8161,0.44,0.6
0.5,22.5,82.9,8162,0.44,0.49
75.4,16.1,-13.1,8163,0.44,0.5
70.8,9.6,-6.3,8164,0.44,0.82
42.6,28.9,52.6,8165,0.61,0.48
35.4,33.4,58.1,8166,0.44,0.48
69.6,22.1,-5.4,8167,0.44,0.73
45.7,44.3,28.1,8168,0.58,0.48
2.8,30.0,98.9,8169,0.59,0.5
44.7,29.1,50.9,8170,0.44,0.51
48.7,22.2,20.2,8171,0.44,0.74
20.8,27.4,69.8,8172,0.45,0.49
77.3,22.2,-17.4,8173,0.44,0.71
24.8,21.0,52.3,8174,0.44,0.5
1.3,69.8,74.7,8175,0.44,0.56
-28.5,33.1,114.6,8176,0.63,0.61
74.6,27.2,-2.0,8177,0.44,0.49
16.0,24.8,64.6,8178,0.45,0.49
35.2,21.4,61.3,8179,0.44,0.48
4.9,19.0,82.4,8180,0.44,0.5
26.4,30.6,73.0,8181,0.45,0.48
35.6,18.8,38.9,8182,0.44,0.49
37.9,19.7,49.2,8183,0.44,0.49
-3.0,15.3,80.2,8184,0.44,0.69
15.1,34.3,81.4,8185,0.45,0.48
72.9,22.5,5.4,8186,0.44,0.54
74.7,27.5,-0.4,8187,0.45,0.6
-6.9,20.1,90.0,8188,0.44,0.5
52.1,15.7,3.1,8189,0.44,0.51
28.7,25.8,66.5,8190,0.44,0.5
48.0,22.9,32.2,8191,0.44,0.61
21.4,25.4,48.3,8192,0.45,0.53
34.5,27.9,47.9,8193,0.44,0.49
67.9,30.8,23.4,8194,0.45,0.54
31.5,29.3,59.3,8195,0.44,0.49
95.8,12.2,-34.6,8196,0.62,0.67
40.8,30.5,27.2,8197,0.45,0.49
45.3,33.9,58.0,8198,0.45,0.48
-14.0,19.4,100.2,8199,0.44,0.48
9.9,14.2,67.6,8200,0.44,0.5
19.1,33.6,74.9,8201,0.46,0.5
48.5,14.3,12.1,8202,0.44,0.65
33.7,37.8,67.6,8203,0.45,0.48
33.3,9.6,6.6,8204,0.44,0.69
58.1,32.5,11.7,8205,0.44,0.48
-13.1,18.8,91.4,8206,0.44,0.58
79.7,30.9,1.1,8207,0.7,0.51
78.9,17.5,-8.8,8208,0.44,0.69
23.8,36.4,82.2,8209,0.45,0.48
34.8,22.0,65.1,8210,0.44,0.57
59.9,24.9,23.0,8211,0.44,0.58
24.5,26.4,62.3,8212,0.44,0.49
55.9,20.7,15.3,8213,0.44,0.52
35.7,35.7,50.4,8214,0.44,0.48
42.1,20.5,21.8,8215,0.44,0.49
0.1,31.7,93.6,8216,0.45,0.49
-20.1,17.6,96.8,8217,0.65,0.62
67.6,13.1,-18.0,8218,0.44,0.78
-6.5,19.8,89.9,8219,0.45,0.5
19.6,12.5,51.9,8220,0.44,0.5
81.3,29.8,-10.0,8221,0.44,0.74
11.0,27.1,65.4,8222,0.45,0.48
48.2,22.2,29.5,8223,0.44,0.52
39.2,21.6,47.3,8224,0.44,0.5
35.9,17.6,46.5,8225,0.44,0.48
68.6,17.5,-16.7,8226,0.44,0.48
-45.7,53.8,57.0,8227,0.44,0.56
59.5,18.7,-1.2,8228,0.44,0.79
61.0,21.2,-0.6,8229,0.44,0.61
-11.6,20.9,86.6,8230,0.44,0.72
45.3,27.2,34.3,8231,0.44,0.5
82.2,23.9,-17.1,8232,0.44,0.55
69.7,18.0,7.1,8233,0.44,0.58
33.6,30.7,63.9,8234,0.45,0.48
-34.4,67.5,53.9,8235,0.44,0.48
-0.2,44.5,72.3,8236,0.44,0.49
24.5,22.1,37.5,8237,0.48,0.68
53.0,28.5,19.8,8238,0.44,0.49
81.2,34.1,-9.3,8239,0.44,0.78
-84.3,37.6,50.0,8240,0.44,0.81
0.7,18.3,75.0,8241,0.44,0.53
35.2,68.4,22.2,8242,0.45,0.48
43.8,22.5,26.1,8243,0.44,0.7
3.8,25.0,87.2,8244,0.44,0.49
3.6,17.2,81.6,8245,0.44,0.49
70.1,17.8,-15.2,8246,0.44,0.52
27.3,18.9,61.2,8247,0.44,0.66
-35.1,18.5,91.5,8248,0.44,0.65
22.2,25.8,67.4,8249,0.45,0.48
53.5,13.9,19.9,8250,0.44,0.59
-27.3,35.3,112.5,8251,0.44,0.51
49.9,35.0,37.2,8252,0.45,0.5
44.3,29.7,39.5,8253,0.44,0.49
-46.4,120.1,-78.5,8254,0.47,0.48
5.6,24.7,89.1,8255,0.45,0.5
90.0,37.7,-37.2,8256,0.44,0.64
-74.5,28.3,97.2,8257,0.44,0.57
20.3,18.3,49.6,8258,0.44,0.49
80.2,20.2,-2.5,8259,0.44,0.59
-1.0,26.3,98.9,8260,0.44,0.49
46.5,26.0,25.0,8261,0.44,0.48
73.4,23.3,-5.5,8262,0.44,0.55
44.0,39.1,22.6,8263,0.69,0.48
66.0,36.7,26.5,8264,0.45,0.51
33.2,26.4,65.7,8265,0.61,0.5
23.2,15.1,55.5,8266,0.44,0.57
47.9,19.7,18.5,8267,0.44,0.72
62.7,14.8,-0.3,8268,0.44,0.48
8.9,39.3,95.2,8269,0.49,0.48
22.9,21.2,82.1,8270,0.44,0.48
74.9,29.1,14.5,8271,0.54,0.5
79.7,25.0,-8.7,8272,0.44,0.49
36.2,34.5,54.9,8273,0.44,0.49
57.7,20.7,8.0,8274,0.44,0.51
77.5,63.3,1.9,8275,0.49,0.48
73.7,29.3,7.5,8276,0.44,0.48
-23.2,97.3,4.5,8277,0.44,0.48
20.4,67.8,54.6,8278,0.46,0.48
17.0,28.3,80.2,8279,0.44,0.51
53.8,41.5,37.7,8280,0.44,0.49
-13.4,18.0,88.6,8281,0.44,0.49
87.0,40.2,-37.7,8282,0.44,0.69
39.7,13.7,32.1,8283,0.44,0.62
-2.0,24.9,92.2,8284,0.44,0.73
30.5,7.1,19.6,8285,0.44,0.76
-14.4,52.3,72.4,8286,0.44,0.48
-13.8,19.7,103.4,8287,0.44,0.71
26.9,39.9,58.9,8288,0.45,0.49
44.8,19.8,19.4,8289,0.44,0.69
45.0,18.2,24.9,8290,0.44,0.51
35.7,12.3,40.6,8291,0.44,0.83
-20.2,22.4,99.7,8292,0.45,0.48
55.2,4.9,-9.9,8293,0.44,0.77
75.1,18.2,1.8,8294,0.44,0.72
12.6,21.5,65.7,8295,0.44,0.7
73.6,22.8,-6.4,8296,0.44,0.75
-16.7,42.5,115.2,8297,0.66,0.6
7.2,23.6,75.5,8298,0.44,0.49
-25.2,17.9,96.0,8299,0.44,0.73
61.8,26.2,33.3,8300,0.44,0.53
56.2,38.0,9.8,8301,0.44,0.48
-0.8,63.7,64.1,8302,0.44,0.49
85.1,21.9,-3.7,8303,0.44,0.62
-55.6,91.0,-108.6,8304,0.45,0.5
48.2,12.4,12.2,8305,0.44,0.49
59.5,20.4,23.9,8306,0.44,0.52
113.1,-54.9,-46.5,8307,0.44,0.65
41.5,24.1,51.1,8308,0.44,0.64
54.9,9.6,-1.0,8309,0.44,0.75
75.3,30.3,23.7,8310,0.44,0.48
52.7,20.0,22.1,8311,0.44,0.49
29.0,27.4,73.6,8312,0.45,0.48
31.0,22.5,55.4,8313,0.44,0.51
-59.8,55.6,86.1,8314,0.44,0.53
72.1,21.6,-12.9,8315,0.44,0.49
-8.3,21.8,94.9,8316,0.44,0.72
18.4,29.9,74.3,8317,0.44,0.49
22.6,23.8,55.0,8318,0.44,0.61
-2.8,19.0,79.5,8319,0.44,0.48
-1.9,25.8,81.4,8320,0.44,0.49
61.2,71.3,4.6,8321,0.54,0.48
77.5,21.0,8.9,8322,0.44,0.62
6.8,77.6,25.7,8323,0.44,0.66
29.4,33.8,55.6,8324,0.44,0.5
42.7,30.4,35.6,8325,0.45,0.48
63.2,24.2,-9.1,8326,0.44,0.48
11.8,16.0,71.5,8327,0.44,0.51
-12.4,54.2,104.2,8328,0.54,0.5
2.2,53.8,78.5,8329,0.44,0.49
27.0,21.0,55.8,8330,0.69,0.51
17.3,55.1,46.6,8331,0.44,0.51
-10.4,29.5,72.5,8332,0.45,0.69
84.1,45.8,6.6,8333,0.6,0.49
56.9,36.4,38.8,8334,0.45,0.48
19.9,11.6,52.6,8335,0.44,0.66
34.4,21.7,55.2,8336,0.44,0.77
-49.9,63.0,21.6,8337,0.44,0.64
-28.7,59.6,38.6,8338,0.44,0.5
46.3,16.0,32.7,8339,0.44,0.64
32.2,24.7,73.3,8340,0.44,0.48
70.6,59.3,-2.1,8341,0.45,0.48
-1.8,33.3,81.1,8342,0.44,0.49
12.1,32.1,91.7,8343,0.58,0.51
30.4,32.7,68.5,8344,0.45,0.48
77.1,29.6,-8.9,8345,0.44,0.74
49.0,47.7,22.5,8346,0.45,0.48
16.1,23.7,82.2,8347,0.45,0.49
23.5,32.4,88.5,8348,0.44,0.49
19.5,27.7,70.6,8349,0.44,0.61
-11.1,30.7,101.9,8350,0.44,0.5
39.3,26.1,47.4,8351,0.44,0.5
20.3,13.2,11.0,8352,0.44,0.8
37.3,16.8,31.6,8353,0.44,0.49
57.3,24.9,37.3,8354,0.44,0.48
-7.2,16.9,82.0,8355,0.44,0.72
11.1,50.7,60.2,8356,0.44,0.48
82.0,18.8,-31.6,8357,0.44,0.78
21.1,15.9,56.1,8358,0.44,0.81
23.9,22.9,58.6,8359,0.44,0.48
66.9,29.4,28.8,8360,0.44,0.5
132.0,-36.2,-46.5,8361,0.44,0.5
57.3,12.9,10.7,8362,0.44,0.62
-31.7,26.4,121.0,8363,0.44,0.6
85.0,-19.4,-58.9,8364,0.44,0.65
-17.3,19.4,95.5,8365,0.44,0.57
-4.5,18.7,77.9,8366,0.44,0.6
34.7,14.6,8.3,8367,0.44,0.7
5.3,20.3,82.1,8368,0.44,0.48
14.5,10.2,60.6,8369,0.44,0.65
28.5,31.0,64.3,8370,0.44,0.48
-4.4,23.3,76.3,8371,0.45,0.72
49.7,16.5,18.0,8372,0.44,0.57
9.9,24.4,94.5,8373,0.44,0.49
39.8,29.3,56.4,8374,0.47,0.51
51.2,24.9,35.8,8375,0.44,0.62
61.5,25.4,24.8,8376,0.44,0.61
25.6,35.2,67.0,8377,0.45,0.48
31.5,15.2,24.5,8378,0.44,0.67
43.8,25.6,33.1,8379,0.45,0.68
45.9,26.0,13.8,8380,0.44,0.5
47.9,26.1,52.0,8381,0.45,0.49
32.4,33.7,53.4,8382,0.44,0.48
46.5,31.9,52.2,8383,0.45,0.48
38.2,34.5,54.5,8384,0.44,0.48
41.4,6.2,-3.0,8385,0.44,0.8
-10.4,18.9,36.1,8386,0.45,0.48
35.5,20.9,40.5,8387,0.44,0.49
32.8,23.3,49.2,8388,0.44,0.48
48.6,12.8,-6.1,8389,0.44,0.8
34.3,26.8,59.2,8390,0.44,0.48
81.3,9.2,-26.7,8391,0.45,0.75
-32.3,9.2,89.1,8392,0.45,0.66
52.1,23.4,32.0,8393,0.44,0.51
50.6,19.7,10.8,8394,0.44,0.6
11.5,24.4,82.1,8395,0.44,0.48
-17.7,28.8,107.5,8396,0.44,0.5
66.1,36.5,26.0,8397,0.45,0.51
74.6,17.2,-13.0,8398,0.44,0.48
16.4,27.2,77.6,8399,0.44,0.52
45.0,20.8,40.8,8400,0.44,0.64
120.0,-24.3,-46.2,8401,0.44,0.5
16.9,12.9,59.9,8402,0.44,0.5
7.6,27.6,95.0,8403,0.45,0.48
29.8,16.0,49.2,8404,0.44,0.48
72.2,22.6,14.3,8405,0.44,0.48
17.0,28.6,77.0,8406,0.44,0.48
3.2,50.9,10.1,8407,0.45,0.49
-0.3,33.1,96.9,8408,0.6,0.48
17.9,19.2,64.8,8409,0.44,0.73
24.6,25.6,80.5,8410,0.45,0.48
-14.5,34.8,111.1,8411,0.44,0.48
61.2,27.0,33.7,8412,0.44,0.51
61.9,27.6,28.5,8413,0.45,0.51
2.6,14.2,57.3,8414,0.44,0.51
58.0,24.5,11.1,8415,0.44,0.51
-37.6,11.5,97.7,8416,0.44,0.65
26.5,32.8,48.9,8417,0.54,0.62
45.8,29.8,35.2,8418,0.44,0.54
18.3,17.6,63.8,8419,0.44,0.48
19.4,26.2,65.2,8420,0.45,0.5
-63.0,46.0,109.7,8421,0.44,0.66
41.9,27.9,32.9,8422,0.51,0.5
82.4,31.5,3.4,8423,0.44,0.49
37.7,38.0,-1.4,8424,0.44,0.69
36.9,23.2,32.5,8425,0.44,0.69
34.3,25.9,68.3,8426,0.44,0.48
49.7,31.6,27.4,8427,0.44,0.48
67.0,25.5,8.6,8428,0.44,0.48
-23.3,29.8,121.4,8429,0.44,0.62
60.2,21.1,27.5,8430,0.44,0.51
27.3,70.5,7.2,8431,0.44,0.48
61.0,32.7,9.7,8432,0.44,0.49
74.3,30.4,13.1,8433,0.44,0.48
-3.3,42.2,57.1,8434,0.44,0.49
81.8,37.2,0.1,8435,0.44,0.49
44.3,31.8,47.0,8436,0.44,0.48
50.3,22.4,42.3,8437,0.44,0.48
28.2,23.1,53.7,8438,0.44,0.48
36.5,14.0,33.0,8439,0.44,0.57
74.5,23.0,19.0,8440,0.44,0.5
72.1,62.3,14.5,8441,0.54,0.48
30.7,8.9,30.0,8442,0.44,0.48
-19.0,20.7,112.5,8443,0.45,0.63
57.7,21.6,14.6,8444,0.44,0.48
11.4,28.0,74.3,8445,0.44,0.48
16.3,30.3,77.1,8446,0.44,0.48
3.1,27.5,90.8,8447,0.44,0.63
16.2,19.8,56.7,8448,0.44,0.52
9.6,26.1,82.2,8449,0.44,0.48
35.0,27.2,52.5,8450,0.61,0.48
34.2,19.2,35.5,8451,0.44,0.48
63.4,37.7,22.2,8452,0.65,0.51
47.1,46.3,29.4,8453,0.51,0.48
59.6,19.8,26.8,8454,0.44,0.52
40.4,19.9,45.2,8455,0.44,0.49
-8.3,22.7,93.6,8456,0.44,0.5
57.4,18.2,18.2,8457,0.44,0.49
47.1,19.8,17.5,8458,0.44,0.58
8.9,31.1,94.1,8459,0.45,0.49
54.6,14.8,13.0,8460,0.44,0.71
13.5,25.2,76.9,8461,0.45,0.68
36.3,74.4,1.3,8462,0.51,0.48
70.1,22.5,8.7,8463,0.44,0.57
47.0,34.8,52.1,8464,0.44,0.48
46.5,23.3,37.1,8465,0.44,0.5
47.1,17.3,25.4,8466,0.44,0.72
29.7,26.8,38.0,8467,0.44,0.5
57.7,51.4,8.6,8468,0.56,0.48
35.9,22.8,43.0,8469,0.44,0.48
13.8,34.3,77.9,8470,0.45,0.5
7.5,17.5,68.4,8471,0.67,0.48
32.1,24.0,40.4,8472,0.44,0.51
58.9,11.0,-6.6,8473,0.44,0.65
1.0,16.6,62.4,8474,0.44,0.48
50.2,27.8,50.2,8475,0.44,0.48
55.9,20.1,-3.2,8476,0.44,0.5
20.6,27.9,57.6,8477,0.45,0.5
35.2,19.0,46.9,8478,0.44,0.49
39.3,33.8,40.1,8479,0.46,0.48
66.3,22.3,7.7,8480,0.44,0.51
88.1,40.2,-2.9,8481,0.44,0.48
43.6,14.5,33.5,8482,0.44,0.62
59.7,25.9,30.5,8483,0.44,0.48
38.7,20.9,39.3,8484,0.44,0.48
48.2,44.3,36.0,8485,0.44,0.48
81.8,62.7,-4.5,8486,0.45,0.48
29.0,27.6,70.4,8487,0.63,0.48
-6.2,19.4,92.4,8488,0.44,0.49
27.3,30.6,58.3,8489,0.45,0.48
90.0,54.2,-4.9,8490,0.48,0.48
50.2,28.6,47.7,8491,0.44,0.5
95.6,8.3,-42.6,8492,0.45,0.8
-24.7,29.7,113.4,8493,0.44,0.61
65.2,98.3,-30.6,8494,0.77,0.49
-11.2,17.3,87.9,8495,0.44,0.64
36.9,15.9,28.9,8496,0.44,0.51
12.8,31.7,91.2,8497,0.44,0.48
-4.5,15.3,90.6,8498,0.44,0.48
19.8,19.8,54.2,8499,0.44,0.49
51.7,23.2,-3.7,8500,0.44,0.64
33.7,31.4,65.1,8501,0.45,0.48
35.2,21.4,34.8,8502,0.44,0.59
45.8,15.1,10.8,8503,0.44,0.48
53.2,23.5,39.6,8504,0.49,0.48
26.5,30.4,63.8,8505,0.44,0.48
39.3,89.1,-1.4,8506,0.44,0.48
-25.9,3.5,76.7,8507,0.44,0.76
1.3,87.1,45.1,8508,0.46,0.5
36.7,7.8,16.7,8509,0.44,0.77
-6.6,51.8,107.5,8510,0.45,0.61
7.0,27.9,89.2,8511,0.59,0.48
71.2,20.7,8.9,8512,0.44,0.52
11.1,31.8,93.7,8513,0.45,0.48
18.0,19.5,63.6,8514,0.44,0.48
42.8,24.4,42.8,8515,0.62,0.62
29.9,29.7,65.9,8516,0.44,0.48
52.2,39.6,25.7,8517,0.45,0.62
49.1,21.2,15.6,8518,0.44,0.72
68.0,19.0,-7.0,8519,0.44,0.49
81.0,23.4,1.9,8520,0.44,0.61
46.3,18.2,32.8,8521,0.44,0.48
11.3,34.7,73.3,8522,0.45,0.5
68.7,24.2,-21.5,8523,0.44,0.82
122.9,-30.4,-52.1,8524,0.45,0.49
-2.6,55.7,87.5,8525,0.73,0.65
14.4,32.6,88.6,8526,0.45,0.49
52.7,43.3,30.5,8527,0.46,0.48
62.6,19.2,16.5,8528,0.44,0.51
-49.9,49.0,79.5,8529,0.44,0.64
93.7,8.8,-47.8,8530,0.44,0.74
35.2,30.8,64.2,8531,0.45,0.48
-15.8,41.9,76.1,8532,0.44,0.48
-10.5,18.3,90.1,8533,0.44,0.69
80.9,18.0,-16.1,8534,0.44,0.62
-36.6,41.5,123.7,8535,0.44,0.5
22.6,29.3,75.0,8536,0.44,0.49
14.9,27.0,68.6,8537,0.44,0.73
-44.5,13.0,94.5,8538,0.44,0.49
21.4,12.1,33.9,8539,0.44,0.48
36.4,30.4,55.7,8540,0.44,0.6
22.7,26.4,58.0,8541,0.44,0.51
3.3,77.7,62.3,8542,0.45,0.58
29.2,29.0,62.4,8543,0.44,0.48
36.9,17.5,23.1,8544,0.44,0.49
27.0,29.0,55.6,8545,0.44,0.51
62.4,26.6,5.4,8546,0.44,0.48
85.8,28.3,-19.0,8547,0.44,0.49
44.4,38.7,22.2,8548,0.44,0.48
55.0,24.0,32.6,8549,0.44,0.49
58.6,25.5,36.3,8550,0.44,0.51
13.2,29.1,69.0,8551,0.45,0.48
62.6,26.4,27.7,8552,0.44,0.5
62.4,32.6,29.7,8553,0.44,0.52
-6.9,31.1,79.5,8554,0.45,0.75
9.9,36.3,89.8,8555,0.53,0.51
41.6,18.8,40.9,8556,0.44,0.53
45.4,19.5,11.8,8557,0.44,0.5
63.5,26.6,28.2,8558,0.44,0.63
44.1,2.2,1.7,8559,0.44,0.76
-2.5,47.0,105.0,8560,0.44,0.48
47.0,34.4,46.4,8561,0.45,0.5
60.1,25.4,23.6,8562,0.44,0.48
21.0,26.7,72.6,8563,0.44,0.49
58.6,35.1,8.9,8564,0.44,0.56
69.9,25.3,13.9,8565,0.45,0.57
41.0,59.1,39.3,8566,0.44,0.48
85.5,31.6,-6.3,8567,0.44,0.52
47.3,7.3,-5.4,8568,0.44,0.49
-13.3,33.9,103.4,8569,0.45,0.48
71.4,20.0,-0.6,8570,0.44,0.62
25.6,8.2,20.4,8571,0.44,0.8
44.8,20.9,23.2,8572,0.44,0.48
0.7,19.4,73.6,8573,0.44,0.49
37.8,24.7,39.0,8574,0.44,0.49
33.6,32.1,49.5,8575,0.44,0.52
118.5,-47.9,-55.0,8576,0.45,0.5
28.3,15.7,51.7,8577,0.44,0.51
3.6,59.9,59.6,8578,0.44,0.48
92.1,33.3,-6.2,8579,0.44,0.5
-6.0,35.4,39.3,8580,0.44,0.5
22.9,31.8,79.5,8581,0.44,0.48
40.6,16.9,42.0,8582,0.44,0.58
11.7,47.2,70.3,8583,0.45,0.6
-1.8,17.5,86.9,8584,0.44,0.66
19.2,30.9,68.3,8585,0.44,0.48
14.1,21.8,75.9,8586,0.44,0.49
-2.5,34.9,90.3,8587,0.44,0.48
81.8,22.5,-6.6,8588,0.44,0.71
83.5,81.7,-20.8,8589,0.64,0.48
-29.7,15.1,73.5,8590,0.45,0.5
31.7,33.0,67.7,8591,0.45,0.48
42.7,34.7,49.6,8592,0.44,0.49
18.6,27.1,82.4,8593,0.45,0.49
40.8,18.7,17.5,8594,0.44,0.5
-6.8,17.3,91.9,8595,0.44,0.53
13.8,40.8,81.1,8596,0.44,0.48
-9.2,18.1,94.5,8597,0.44,0.48
49.4,24.9,43.5,8598,0.44,0.5
-6.4,23.3,56.6,8599,0.45,0.49
20.7,27.8,79.9,8600,0.44,0.49
22.4,23.0,53.8,8601,0.45,0.67
16.5,35.2,68.9,8602,0.44,0.49
31.7,28.9,43.4,8603,0.44,0.48
-23.9,42.6,97.0,8604,0.45,0.49
29.4,38.1,70.6,8605,0.45,0.48
53.5,36.9,38.8,8606,0.44,0.48
-32.7,42.8,127.3,8607,0.45,0.51
53.3,25.2,30.8,8608,0.44,0.5
24.0,29.6,74.9,8609,0.44,0.48
31.9,37.8,65.2,8610,0.45,0.48
10.9,29.6,85.7,8611,0.45,0.49
5.7,49.6,67.0,8612,0.45,0.65
-45.0,10.6,97.9,8613,0.44,0.57
37.6,11.6,22.3,8614,0.44,0.71
30.3,27.9,70.1,8615,0.63,0.48
-8.6,18.0,82.8,8616,0.44,0.49
30.8,15.7,43.6,8617,0.44,0.7
34.7,27.2,43.9,8618,0.44,0.48
76.8,17.3,-35.8,8619,0.45,0.48
65.9,36.1,-11.6,8620,0.61,0.5
55.2,36.6,40.8,8621,0.46,0.48
78.0,76.8,-23.6,8622,0.54,0.49
11.9,34.3,85.7,8623,0.45,0.48
36.3,65.9,43.2,8624,0.55,0.5
-8.8,55.0,49.1,8625,0.44,0.48
112.2,11.0,-65.0,8626,0.63,0.6
70.4,18.3,-20.8,8627,0.44,0.48
69.0,17.7,-0.4,8628,0.44,0.48
7.3,25.4,70.1,8629,0.45,0.71
41.2,34.2,60.7,8630,0.44,0.54
26.4,28.7,77.2,8631,0.44,0.48
65.9,20.9,15.7,8632,0.44,0.5
-7.8,17.8,92.9,8633,0.44,0.66
65.6,28.0,23.0,8634,0.44,0.48
8.6,28.0,93.8,8635,0.44,0.48
